recipe_code,category_code
adjarian_khachapuri,breakfast
adjarian_khachapuri,main_course
boiled_eggs,breakfast
sour_cream_and_cottage_cheese,breakfast
oatmeal,breakfast
cornflakes_with_milk,breakfast
pancakes,breakfast
pancakes,dessert
bread_omelette,breakfast
mushroom_omelette,breakfast
omelette,breakfast
syrniki,breakfast
syrniki,dessert
pancakes_with_seasonal_fruit,breakfast
pancakes_with_seasonal_fruit,dessert
pelmeni,lunch
pelmeni,dinner
pelmeni,main_course
uzbek_rice_pilaf,lunch
uzbek_rice_pilaf,dinner
uzbek_rice_pilaf,main_course
chicken_rice_soup,lunch
chicken_rice_soup,soup
oven_roasted_vegetables,side_dish
pizza,lunch
pizza,dinner
pizza,main_course
fish,lunch
fish,dinner
fish,main_course
chickpea_soup,lunch
chickpea_soup,soup
spaghetti_with_meat_and_cheese,lunch
spaghetti_with_meat_and_cheese,dinner
spaghetti_with_meat_and_cheese,main_course
spaghetti_with_mushrooms_and_cheese,lunch
spaghetti_with_mushrooms_and_cheese,dinner
spaghetti_with_mushrooms_and_cheese,main_course
potato_and_meat_sauce,lunch
potato_and_meat_sauce,dinner
potato_and_meat_sauce,main_course
fried_potatoes,side_dish
spas,lunch
spas,soup
buckwheat,side_dish
burger,lunch
burger,dinner
burger,main_course
cabbage_salad,salad
beet_salad,salad
caesar_salad,salad
caesar_salad,lunch
hummus,snack
chicken_carrot_corn_salad,salad
bruschetta,snack
korean_salad,salad
summer_salad,salad
carrot_meat_green_bean_sauce,lunch
carrot_meat_green_bean_sauce,dinner
carrot_meat_green_bean_sauce,main_course
sour_cream_sauce,sauce
fried_chicken_drumsticks,lunch
fried_chicken_drumsticks,dinner
fried_chicken_drumsticks,main_course
zucchini_cutlets,lunch
zucchini_cutlets,dinner
zucchini_cutlets,main_course
chicken_cutlets,lunch
chicken_cutlets,dinner
chicken_cutlets,main_course
chicken_sausages,breakfast
chicken_sausages,main_course
mashed_potatoes,side_dish
rice_pilaf,side_dish
meat_casserole,lunch
meat_casserole,dinner
meat_casserole,main_course
lavash_khachapuri,breakfast
lavash_khachapuri,snack
cheese_sandwich,breakfast
cheese_sandwich,snack
roll_cake,dessert
chicken_cutlet_sandwich,snack
chicken_sausage_sandwich,snack
