recipe_code,product_code,quantity,unit
adjarian_khachapuri,adjarian_dough,5,pcs
adjarian_khachapuri,chicken_egg,7,pcs
adjarian_khachapuri,lori_cheese,0.1,kg
boiled_eggs,chicken_egg,6,pcs
boiled_eggs,chanakh_cheese,0.07,kg
boiled_eggs,butter,0.07,kg
boiled_eggs,lavash,2,pcs
boiled_eggs,herbs,0.1,bunch
sour_cream_and_cottage_cheese,sour_cream,0.2,box
sour_cream_and_cottage_cheese,cottage_cheese,0.5,box
oatmeal,oats,0.2,box
cornflakes_with_milk,milk,0.2,liter
cornflakes_with_milk,cornflakes,0.05,kg
pancakes,chicken_egg,1,pcs
pancakes,milk,0.21,liter
pancakes,baking_powder,0.005,box
pancakes,vegetable_oil,0.025,liter
pancakes,flour,0.2,kg
pancakes,sugar,0.03,kg
bread_omelette,chicken_egg,4,pcs
bread_omelette,bread,2,pcs
mushroom_omelette,mushroom,0.2,kg
mushroom_omelette,chicken_egg,2,pcs
omelette,chicken_egg,6,pcs
syrniki,cottage_cheese,1,box
pancakes_with_seasonal_fruit,chicken_egg,1,pcs
pancakes_with_seasonal_fruit,milk,0.21,liter
pancakes_with_seasonal_fruit,baking_powder,0.005,bunch
pancakes_with_seasonal_fruit,vegetable_oil,0.025,liter
pancakes_with_seasonal_fruit,flour,0.2,kg
pancakes_with_seasonal_fruit,sugar,0.03,kg
pancakes_with_seasonal_fruit,banana,0.5,kg
